symbol,token
AMBIKCO,3899905
AMBUJACEM,325121
AMCL-SM,194157313
AMDIND,3685889
AMEYA-SM,2789889
AMIABLE-SM,3056385
AMIRCHAND,194987521
AMJLAND,665089
AMNPLST,5085953
AMRUTANJAN,4492033
ANANDRATHI,1829121
ANANTAM-IV,194396929
ANANTRAJ,3486721
ANDHRAPAP,42497
ANDHRSUGAR,34817
ANGELONE,82945
ANIKINDS,4264193
ANKITMETAL-BZ,6624769
ANLON-SM,3496193
ANMOL,954113
ANNAPURNA-SM,2866689
ANONDITA-SM,194237441
ANSALAPI-BZ,5037313
ANTELOPUS,3481089
ANTGRAPHIC,1329665
ANTHEM,194018561
ANUHPHR,7248385
ANUP,2307585
ANURAS,724225
ANURAS-W1,6063873
ANYA-SM,7419649
ANZEN-IV,3057921
AOGOLDINAV,7819009
AONE50INAV,7827713
AONEGOLD,194279425
AONELIINAV,7801857
AONELIQUID,7800833
AONENFINAV,7809537
AONENIFTY,193816577
AONESIINAV,7835137
AONESILVER,194609409
AONETMMQ50,194557953
AONETOINAV,7674369
AONETOTAL,7673601
APARINDS,2941697
APCL,5235969
APCOTEXIND,39425
APEX,5535489
APEXECO-SM,6985729
APLAPOLLO,6599681
APLLTD,6483969
APOLLO,290305
APOLLOHOSP,40193
APOLLOPIPE,3676417
APOLLOTYRE,41729
APOLSINHOT,1613313
APRAMEYA-SM,6307329
APSIFHLSDD-SF,194969857
APSIFHLSDG-SF,194970369
APSIFHLSRD-SF,194970881
APSIFHLSRG-SF,194971393
APSISAERO-SM,194926593
APS-SM,5491457
APTECHT,2753281
APTUS,1391361
AQYLON,5981441
ARABIAN-SM,4928769
ARCHIDPLY,4299521
ARCHIES,1456129
ARCIIL-SM,194219521
ARE&M,25601
ARENTERP,46337
ARFIN,194227201
ARHAM-SM,3351553
ARIES,3892225
ARIHANTACA-SM,3415041
ARIHANTCAP,976129
ARIHANTSUP,5160705
ARIS,193949185
ARISTO-SM,3565057
ARKADE,6501889
ARMANFIN,4419329
ARMOUR-SM,194751745
AROGRANITE,3726593
ARROWGREEN,2370561
ARSHIYA-BZ,7427841
ARSIFHDG-SF,194955265
ARSIFHRG-SF,194954241
ARSIFHRHD-SF,194955777
ARSIFHRMD-SF,194954753
ARSSBL,194548737
ARTEMISMED,4329729
ARTNIRMAN,1575937
ARUNAYA-SM,193765377
ARVEE,720385
ARVIND,49409
ARVINDFASN,2332417
ARVINDPORT-SM,5012225
ARVSMART,2676993
ASAHIINDIA,1376769
ASAHISONG,6422529
ASAL,2722305
ASALCBR,4505089
ASCOM-ST,3847681
ASHALOG-SM,6326017
ASHAPURMIN,51969
ASHIANA,6247169
ASHIMASYN,52737
ASHOKA,5166593
ASHOKAMET,4337409
ASHOKLEY,54273
ASHWINI-SM,194667009
ASIANENE,1799681
ASIANHOTNR,4716033
ASIANPAINT,60417
ASIANTILES,3811585
ASIFDG-SF,194361345
ASIFRD-SF,194361857
ASIFRG-SF,194362369
ASKAUTOLTD,5158913
ASLIND-SM,5248513
ASMS,3600385
ASPINWALL,4421121
ASPIRE-SM,5989377
ASTEC,4538369
ASTERDM,386049
ASTRAL,3691009
ASTRAMICRO,2974209
ASTRAZEN,1436161
ASTRON,223745
ATALREAL,4006145
ATAM,3943425
ATCENERGY-SM,193638913
ATGL,1552897
ATHERENERG,193957121
ATL,4551169
ATLANTAA,3477761
ATLANTAELE,194305793
ATLASCYCLE,1169409
ATLPP-E1,194803969
ATMASTCO-SM,5832961
ATUL,67329
ATULAUTO,7685889
AUBANK,5436929
AURIGROW,411393
AURIONPRO,3077633
AUROIMPEX-SM,4062465
AUROPHARMA,70401
AURUM,2639361
AUSL-SM,6463489
AUSOMENT-BE,2312961
AUTOAXLES,71169
AUTOBEES,2017281
AUTOBEINAV,2598401
AUTOIETF,2008065
AUTOIND,3611137
AVADHSUGAR,5479937
AVALON,3854849
AVANA-SM,194747649
AVANTEL,6300161
AVANTIFEED,2031617
AVG,3990785
AVIANSH-SM,6533121
AVL,6651905
AVONMORE,3470593
AVPINFRA-SM,5928705
AVROIND,2259713
AVSL-ST,4785409
AVTL29-N0,194703617
AVTNPL,3586049
AWFIS,6109185
AWHCL,460033
AWL,2076161
AXISBANK,1510401
AXISBNINAV,2556673
AXISBNKETF,267265
AXISBPINAV,2556417
AXISBPSETF,903681
AXISCADES,2415617
AXISCEINAV,2556929
AXISCETF,1467393
AXISGOINAV,2109185
AXISGOLD,5256193
AXISHCETF,923649
AXISHCINAV,2553345
AXISILINAV,2868737
AXISILINAV-RL,2868993
AXISILVER,2865409
AXISNIFTY,5440513
AXISNIINAV,2557185
AXISTECETF,770561
AXISTEINAV,2558977
AXISVAINAV,7720449
AXISVALUE,7719681
AXITA,2534913
AXSENSEX,3773953
AXSNSXINAV,3774977
AYE,194811137
AYMSYNTEX,2632961
AZAD,5351681
BABAFP-SM,5156097
BAFNAPH,4541953
BAGDIGITAL-SM,194411521
BAGFILMS,2873857
BAHETI-SM,3325185
BAIDFIN,3531265
BAJAJ-AUTO,4267265
BAJAJCON,4999937
BAJAJELEC,3848705
BAJAJFINSV,4268801
BAJAJHCARE,1756929
BAJAJHFL,6469121
BAJAJHIND,78849
BAJAJHLDNG,78081
BAJAJINDEF,7597569
BAJEL,5255937
BAJFINANCE,81153
BALAJEE,6451969
BALAJIPHOS-SM,7687681
BALAJITELE,2344449
BALAMINES,3712257
BALAXI,2895105
BALCO-SM,6369025
BALKRISHNA,2606337
BALKRISIND,85761
BALMLAWRIE,86529
BALPHARMA,3440897
BALRAMCHIN,87297
BALUFORGE,6043393
BANARBEADS,88833
BANARISUG,89601
BANCOINDIA,3553281
BANDHANBNK,579329
BANG,3917569
BANK10ADD,194909185
BANKA,210433
BANKADD,3492865
BANKBARODA,1195009
BANKBEES,2928385
BANKBETA,5744641
BANKBETF,5628417
BANKBINAV,5629185
BANKETF,4459265
BANKIETF,2825473
BANKINDIA,1214721
BANKNIFTY1,1497857
BANKPSU,6585601
BANSALWIRE,6242817
BANSWRAS,3714817
BARFLEX-SM,7469057
BASF,94209
BASILIC-SM,4721153
BASML,3080705
BATAINDIA,94977
BAWEJA-SM,5778177
BAYERCROP,4589313
BBETF0432,1842177
BBETF0INAV,2565377
BBL,3522817
BBNPNBETF,6173953
BBNPNBINAV,6175233
BBNPPGOLD,5260033
BBOX,879361
BBTC,97281
BBTCL,3111169
BCG-BE,2263297
BCLIND,643329
BCONCEPTS,1991681
BCPL,194942465
BDL,548865
BDR-IT,1099265
BEACON-SM,6124033
BEARDSELL,4590849
BECTORFOOD,416769
BEDMUTHA-BE,5171201
BEL,98049
BELLACASA,194032129
BELRISE,193818113
BEML,101121
BEPL,107265
BERGEPAINT,103425
BESTAGRO-BE,591617
BETA,194519553
BEWLTD-SM,1449473
BFINVEST,5404929
BFSI,1336321
BFUTILITIE-BZ,6625025
BGLOBAL-BZ,2910977
BGRENERGY-BE,3889409
BHADORA-SM,194105601
BHAGCHEM,1577985
BHAGERIA,3430401
BHAGYANGR,5318657
BHANDARI,5006337
BHARATCOAL,194745857
BHARATFORG,108033
BHARATGEAR,109057
BHARATRAS,981505
BHARATSE,7742465
BHARATWIRE,4127489
BHARTIARTL,2714625
BHARTIHEXA,6013185
BHEL,112129
BIGBLOC,4718337
BIKAJI,3063297
BIKEWO-SM,6534145
BIL,2009089
BILVYAPAR-BE,3487233
BIOCON,2911489
BIOFILCHEM,1058817
BIOPOL-SM,194801153
BIRDYS-SM,6031105
BIRET-RR,563969
BIRLACABLE,122113
BIRLACORPN,122881
BIRLAMONEY,3901185
BIRLANU,372481
BLACKBUCK,6948865
BLAL,3857153
BLBLIMITED-BE,2083585
BLISSGVS,4931841
BLKASHYAP,3402241
BLS,4423425
BLSE,5776897
BLUECHIP-BE,2214401
BLUECOAST,1914881
BLUEDART,126721
BLUEJET,5039617
BLUEPEBBLE-ST,5993729
BLUESTARCO,2127617
BLUESTONE,194378497
BLUEWATER-SM,194094593
BLUSPRING,193925121
BMETRICS-SM,1549313
BMWVENTLTD,194369537
BNGOLDINAV,5260801
BNK10DINAV,7836161
BNKETFINAV,4461057
BNKPSUINAV,6587393
BODALCHEM,6404353
BOHRAIND-BE,2980097
BOMDYEING,131329
BONLON,194830337
BORANA-BE,194027521
BOROLTD,4966657
BORORENEW,806145
BOROSCI,6147585
BOSCH-HCIL,1149697
BOSCHLTD,558337
BOSS-SM,6430465
BPCL,134657
BPL,135681
BRACEPORT-SM,6375681
BRANDMAN-SM,194808833
BRIGADE,3887105
BRIGHOTEL,193995265
BRITANNIA,140033
BRNL,5550849
BROOKS,6434817
BSE,5013761
BSE500IETF,768257
BSHSL,207105
BSL,143105
BSLGOLDETF,6093825
BSLGOLINAV,2109441
BSLNIFINAV,2552833
BSLNIFTY,6343937
BSLSENETFG,1524993
BSLSENINAV,2552577
BSOFT,1790465
BTML,3622401
BUILDPRO,194712065
BULKCORP-SM,6323457
BUTTERFLY,695297
BVCL,3858689
BYKE,2027265
C2C-SM,6982145
CADSYS-SM,5586689
CAGL26-NA,4729089
CAGL27A-N6,3192577
CAGL27-NC,4732161
CAGL28-NE,4735489
CALSOFT,2135297
CAMLINFINE,1591297
CAMPUS,2396673
CAMS,87553
CANARYS-SM,4958209
CANBK,2763265
CANFINHOME,149249
CANHLIFE,194426113
CANTABIL,5160961
CAPACITE,5567745
CAPILLARY,194525953
CAPINVIT-IV,7464193
CAPITALSFB,5804801
CAPLIPOINT,999937
CAPTRUST-BE,4979457
CARBORUNIV,152321
CARERATING,7452929
CARRARO,7393025
CARTRADE,1384193
CARYSIL,481025
CASHIEINAV,7717377
CASHIETF,7715585
CASTROLIND,320001
CBAZAAR-SM,5223937
CCAVENUE,4159745
CCCL,3837953
CCHHL,1634561
CCL,2931713
CDSL,5420545
CEATLTD,3905025
CEDAAR-SM,193967873
CEIGALL,6333953
CEINSYS,194825473
CELEBRITY,3369473
CELLECOR-SM,4814337
CELLO,5067521
CELLPOINT-SM,4339201
CEMPRO,1439233
CENTENKA,158465
CENTEXT,2946817
CENTRALBK,3812865
CENTRUM,628225
CENTUM,3835393
CENTURYPLY,3406081
CERA,3849985
CEREBRAINT-BZ,7428097
CESC,160769
CEWATER,7363585
CGCL,5204225
CGPOWER,194561
CGRAPHICS-SM,6007809
CHALET,2187777
CHAMBLFERT,163073
CHAMUNDA-SM,7562497
CHANDAN-SM,7586049
CHAVDA-SM,4775425
CHEMBOND,3742209
CHEMBONDCH,194045185
CHEMCON,69121
CHEMFAB,716545
CHEMICAL,194530561
CHEMINAV,7827201
CHEMPLASTS,1394945
CHENNPETRO,524545
CHETANA-SM,6304001
CHEVIOT,2529025
CHGOLDINAV,7826177
CHOICEGOLD,194460161
CHOICEIN,2269697
CHOLAFIN,175361
CHOLAFIN-D1,4929793
CHOLAHLDNG,5565441
CIEINDIA,3823873
CIF27-NM,5773569
CIF29-NO,5774849
CIFC26A-N9,4595713
CIFC28-NB,4598785
CIFCZC26A-N3,3935233
CIFCZC26-NF,5231873
CIFCZC28A-N5,3936257
CIFCZC28-NH,5233921
CIFL,193539841
CIGNITITEC,1316353
CINELINE,6953217
CINEVISTA,2054145
CIPLA,177665
CITI2626-N0,6206977
CITI28-N0,194893569
CKKRETAIL-ST,194779393
CLASSICEIL-SM,194236417
CLCIND-BE,3544577
CLEAN,1292545
CLEANMAX,194606849
CLEDUCATE-BE,5179649
CLSEL,891393
CLSL-SM,4674561
CMICABLES-BZ,5037057
CMNL-SM,3515137
CMPDI,194964737
CMRSL-SM,2930433
CMSINFO,1946369
CNL,2855681
COALINDIA,5215745
COASTCORP,1537537
COCHINSHIP,5506049
COFFEEDAY,2858241
COFORGE,2955009
COHANCE,4593921
COLPAL,3876097
COMMITTED-SM,4995329
COMMOIETF,3378689
COMPINFO-BZ,5035521
COMPUSOFT,7971329
COMSYN,5523969
CONCOR,1215745
CONCORDBIO,4623361
CONFIPET,2620929
CONNPLEX-SM,194163969
CONS,2691073
CONSOFINVT-BE,3003393
CONSUMBEES,623361
CONSUMER,7416065
CONSUMIETF,1650177
CONSUMINAV,7416833
CONTI-SM,647937
CONTROLPR,4474113
COOLCAPS-SM,2191361
CORALFINAC,1025793
CORDSCABLE,3909377
COROMANDEL,189185
CORONA,194625025
COSMOFIRST,189953
COUNCODOS,4348417
CPCAP,5142017
CPEDU,194288897
CPPLUS,194267649
CPSEETF,595969
CPS-SM,4703233
CRAFTSMAN,730625
CRAMC,194383617
CRAYONS-SM,4203265
CREATIVEYE,2402305
CREDITACC,1131777
CREST,3558401
CRISIL,193793
CRIZAC,194009601
CROMPTON,4376065
CROWN,2069249
CSBBANK,3831297
CSLFINANCE,2649601
CSSL-SM,194596609
CTE,3639809
CUB,1459457
CUBEINVIT-IV,3859969
CUBEXTUB,1040385
CUDML-SM,194081025
CUMMINSIND,486657
CUPID,4741121
CURAA-BE,7728897
CURIS-SM,194515201
CURRENT-SM,194294785
CYBERMEDIA,3031553
CYBERTECH,1549057
CYIENT,1471489
CYIENTDLM,4399873
DABUR,197633
DALBHARAT,2067201
DALMIASUG,199937
DAMCAPITAL,7337473
DAMODARIND,4490497
DANGEE,284161
DANISH-SM,6637313
DATAMATICS,2924289
DATAPATTNS,1883649
DAVANGERE,5579265
DBCORP,4577537
DBEIL,6628353
DBL,4630017
DBOL,2788609
DBREALTY,4639745
DBSTOCKBRO,7963393
DCAL,5556225
DCBBANK,3513601
DCCL-SM,193819393
DCG-SM,6021121
DCI-BE,2961409
DCM,206081
DCMFINSERV-BE,2228225
DCMNVL,2825985
DCMSHRIRAM,207617
DCMSIL-BE,194789889
DCMSRIND,1875201
DCW,209153
DCXINDIA,3045121
DDEVPLSTIK,7449089
DECCANCE,3798529
DECCANTRAN-SM,6507777
DEEDEV,6183425
DEEM-SM,5836545
DEEPAKFERT,211713
DEEPAKNTR,5105409
DEEPINDS,842753
DEFENCE,194827777
DEFENCINAV,7834625
DELAPLEX-SM,5766913
DELHIVERY,2457345
DELPHIFX,6244097
DELTACORP,3851265
DELTAMAGNT,310785
DELTIC-SM,7447553
DEN,4536833
DENEERS-ST,3959041
DENORA,1095425
DENTA,7489537
DENTALKART-SM,4212225
DESTINY-SM,1558273
DEVIT,2085377
DEVX,194324225
DEVYANI,1375489
DGCONTENT,2648577
DHAMPURSUG,219393
DHANBANK,2907905
DHANLAXMI-SM,7097089
DHANUKA,6248705
DHARAN-BZ,194355969
DHARARAIL-SM,194685185
DHARIWAL-ST,6336001
DHARMAJ,3328257
DHRUV,1755649
DHTL-SM,5768449
DHUNINV,5691649
DIACABS,4747009
DIAMINESQ,4772865
DIAMONDYD,5591041
DICIND,179969
DIFFNKG,6572033
DIGIDRIVE,5439233
DIGIKORE-SM,4899329
DIGISPICE,4270849
DIGITIDE,193923841
DIGJAMLMTD,1568513
DIL-BZ,194678273
DIRL-SM,4804865
DISHTV,3721473
DIVGIITTS,3706625
DIVIDEINAV,7830785
DIVIDEND,194665473
DIVINEHIRA-ST,7747073
DIVISLAB,2800641
DIVOPPBEES,674817
DIVYADHAN-SM,6573313
DIXON,5552641
DJML-BE,3264769
DKEGL-SM,1599745
DLF,3771393
DLINKINDIA,4569857
DMART,5097729
DMCC,1785089
DNAMEDIA,164097
DODLA,1234433
DOLATALGO,3103745
DOLLAR,5263361
DOLLEX-SM,3410689
DOLPHIN,4643585
DOMS,5261057
DONEAR,3542785
DPABHUSHAN,239617
DPEL-SM,6217217
DPSCLTD,3947265
DPWIRES,4326401
DRCSYSTEMS,677121
DREAMFOLKS,2779905
DREDGECORP,2885377
DRONE-SM,4447233
DRREDDY,225537
DRSCARGO-SM,6012161
DRSDILIP-ST,1718273
DSFCL,194788097
DSPBNKINAV,3495681
DSPGOINAV,3932929
DSPN50INAV,2561025
DSPNEWINAV,2559233
DSPNITINAV,4407553
DSPPSBINAV,4510721
DSPPVBINAV,4510465
DSPQ50INAV,2561281
DSPSENINAV,4510977
DSPSILINAV,2755585
DSSL,6576641
DTIL,1594113
DTL-SM,6224129
DUCOL-SM,3524097
DUCON-BE,7412737
DUGLOBAL-SM,1396993
DURLAX-SM,6185985
DVL,3894785
DWARKESH,2986753
DYCL,2666753
DYNAMATECH,1158401
DYNAMIC-SM,1556225
DYNPRO,5456385
E2E-BE,2288641
E2ERAIL-SM,194695937
EASEMYTRIP,714753
EASTSILK-BE,2500865
EBANKINAV,2562049
EBANKNIFTY,6466049
EBB433INAV,3371009
EBBE23INAV,2563073
EBBE30INAV,2564097
EBBE31INAV,2564353
EBBE32INAV,2564865
EBBETF0430,4160769
EBBETF0431,5693185
EBBETF0433,3363585
EBGNG,194012673
EBNKNFINAV,6477057
ECAPININAV,7430145
ECAPINSURE,7428865
ECLERX,3885825
ECOLINE-SM,194550017
ECOSMOBLTY,6415361
EDELWEISS,3870465
EDUCOMP-BZ,5567233
EEPL-SM,194136577
EFACTOR-SM,4932353
EFCIL,194220801
EFFWA-SM,6255361
EFORCE-SM,5350145
EGOLD,5102849
EGOLDINAV,5105665
EICHERMOT,232961
EIDPARRY,234497
EIEL,6966529
EIFFL,1546241
EIHAHOTELS,3942145
EIHOTEL,235265
EIMCOELECO,1034241
EKC,3351297
ELDEHSG,2291969
ELECON,3492609
ELECTCAST,237569
ELECTCAST-W1,4637697
ELECTHERM,1144065
ELGIEQUIP,239873
ELGIRUBCO,6380545
ELGNZ-SM,7576321
ELIN,3436289
ELIQUID,194423297
ELIQUIINAV,7820033
ELLEN,194192129
ELM250,194291713
ELM250INAV,7818753
EMAMILTD,3460353
EMAMIPAP,2578945
EMAMIREAL,4934913
EMAPARTNER-SM,7482625
EMBASSY-RR,2402049
EMBDL-BE,3699969
EMCURE,6245889
EMIL,2951681
EMKAY,3435777
EMKAYTOOLS-SM,2624769
EMLTMQINAV,6655745
EMMBI,4644353
EMMIL-SM,6078721
EMMVEE,194490369
EMSLIMITED,4759809
EMUDHRA,2497537
EMULTIMQ,6654977
ENCOMPAS-SM,194642177
ENDURANCE,4818433
ENERGY,194503681
ENERGYDEV,3852545
ENERGYINAV,7826433
ENFUSE-SM,5945345
ENGINERSIN,1256193
ENIFTY,194559489
ENIFTYINAV,7828225
ENIL,3377153
ENRIN,193758977
ENSER-SM,5946881
ENTERO,5815553
ENVIRO-SM,6505473
EPACK,5750529
EPACKPEB,194368257
EPIGRAL,1377793
EPL,251137
EPWINDIA-SM,194870785
EQU200INAV,7711745
EQUA50INAV,7808769
EQUAL200,7710977
EQUAL50,193828353
EQUAL50ADD,1691137
EQUIPPP-BE,909569
EQUITASBNK,233729
ERIS,5415425
ESABINDIA,244481
ESAFSFB,5088769
ESCONET-SM,5827585
ESCORTS,245249
ESENSEINAV,7827969
ESENSEX,194558721
ESFL-SM,4373505
ESG,307201
ESILINAV,5186561
ESILVER,5185793
ESPRIT-SM,6317569
ESSARSHPNG,6562305
ESSENTIA,7762689
ESTER,6211841
ETERNAL,1304833
ETHOSLTD,2496001
ETL-SM,194199297
ETML-SM,7073025
EUREKAFORB,6441473
EUROBOND,194035969
EUROPRATIK,194508033
EUROTEXIND,255745
EVEREADY,3016193
EVERESTIND,254209
EVIETF,193505537
EVIETFINAV,7807745
EVINDIA,6262017
EVINDINAV,6263809
EXCELINDUS,2936577
EXCELLENT-ST,6483713
EXCELSOFT,194561793
EXICOM,5874433
EXIDEIND,173057
EXIMROUTES-SM,194668033
EXPLEOSOL,4476417
EXXARO,1370113
FABTECH,194592001
FACT,258049
FAIRCHEMOR,413185
FALCONTECH-SM,6182401
FAZE3Q-BE,3073537
FCL,1586689
FCONSUMER-BZ,194688001
FCSSOFT,3071745
FDC,1253889
FEDERALBNK,261889
FEDFINA,5202433
FEL-BZ,3535873
FELDVR-BZ,7805697
FELIX-SM,146689
FIBERWEB-BE,2089473
FIDEL-SM,2523649
FIEMIND,3509761
FILATEX,6280193
FILATFASH,6053633
FINBUD-SM,194502657
FINCABLES,265729
FINEORG,958465
FINIETF,3219969
FINKURVE,194365185
FINOPB,1684225
FINPIPE,266497
FIRSTCRY,6352385
FISCHER,193960449
FIVESTAR,3080193
FLAIR,5215233
FLEXIADD,194398209
FLEXIAINAV,7820289
FLEXITUFF,6531073
FLFL-BZ,3806209
FLUOROCHEM,3520001
FLYSBS-SM,194101249
FMCGIETF,1358337
FMGOETZE,304641
FMNL,5380353
FOCE-SM,1890561
FOCUS,1750017
FONEBOX-SM,5764353
FOODSIN,1708289
FORCAS-SM,6377985
FORCEMOT,2962689
FORGEAUTO-SM,6569985
FORTIS,3735553
FOSECOIND,274689
FRACTAL,194806017
FRESHARA-ST,6622977
FROG-SM,2944257
FSL,3661825
FUSION,3054593
FWSTC-SM,194644737
GABRIEL,277761
GAEL,2259969
GAIL,1207553
GAJANAND-SM,6462465
GALAPREC,6434305
GALAXYSURF,336641
GALLANTT,3414273
GANDHAR,5197569
GANDHITUBE,3613697
GANECOS,1777665
GANESHBE,1437185
GANESHCP,194307073
GANESHHOU,3670785
GANESHIN-SM,6998785
GANGABATH-SM,193926401
GANGAFORGE,1268993
GANGESSECU,5478145
GARFIBRES,281601
GARUDA,6604801
GATECH,4579329
GATECHDVR,4353
GATEWAY,2178561
GAUDIUMIVF,194605569
GAYAHWS,945409
GAYAPROJ-BE,6406913
GCHOTELS-SM,7753217
GCSL,194300417
GEECEE,3496449
GEEKAYWIRE,4588033
GEMAROMA-BE,194422529
GENCON,560129
GENESYS,2791681
GENSOL-BZ,194263553
GENUSPAPER,1689601
GENUSPOWER,3047681
GEOJITFSL,3045377
GESHIP,3526657
GFL26-N0,6559745
GFL27-N1,5926657
GFLLIMITED,329985
GFSTEELS-BE,2836225
GGBL-SM,6256385
GHCL,288513
GHCLTEXTIL,4274177
GHOSPIINAV,7835649
GICHSGFIN,291585
GICL,194822401
GICRE,70913
GILLANDERS,4566785
GILLETTE,403457
GILT10BETA,5766145
GILT5BETA,5765377
GILT5YBEES,812033
GILT5YINAV,2597889
GINNIFILA,292353
GIPCL,293121
GIRIRAJ-ST,605697
GJL-ST,194808577
GKENERGY,194316289
GKSL,194866433
GKWLIMITED,4443393
GLAND,303617
GLAXO,295169
GLD360INAV,7712257
GLDCASINAV,5863425
GLENMARK,1895937
GLFL,295937
GLOBAL,362241
GLOBALE,6382593
GLOBALPET-SM,4394753
GLOBALVECT,3516161
GLOBE,100609
GLOBECIVIL,194194433
GLOBUSSPR,4460545
GLOSTERLTD,6039041
GLOTTIS,194589697
GMBREW,299009
GMDCLTD,1332225
GML-ST,194327553
GMMPFAUDLR,401921
GMRAIRPORT,3463169
GMRP&UI,2183425
GNA,4754177
GNFC,300545
GOACARBON,3759873
GOCLCORP,1014529
GOCOLORS,1782785
GODAVARIB,6640897
GODFRYPHLP,302337
GODIGIT,6092545
GODREJAGRO,36865
GODREJCP,2585345
GODREJIND,2796801
GODREJPROP,4576001
GOKEX,3015169
GOKUL,4276481
GOKULAGRO,3706881
GOLD1,3803649
GOLD360,7706881
GOLDADD,3931137
GOLDBDINAV,7829761
GOLDBEES,3693569
GOLDBEINAV,2106113
GOLDBETA,3720961
GOLDBND,194643201
GOLDCASE,5862657
GOLDENTOBC-BZ,2974465
GOLDETF,3657217
GOLDIAM,3064577
GOLDIETF,5037825
GOLDKART-SM,3485697
GOLDSHINAV,2106881
GOLDSTAR-ST,769
GOLDTECH,2527745
GOODLUCK,1568001
GOPAL,5904897
GOYALALUM,3017473
GOYALSALT-SM,4955137
GPECO-SM,6171649
GPIL,3432705
GPPL,5051137
GPTHEALTH,5848577
GPTINFRA,4527361
GRANULES,3039233
GRAPHISAD-ST,5238785
GRAPHITE,151553
GRASIM,315393
GRAVITA,5256705
GRCAPMINAV,7829249
GRCL-SM,3597313
GREAVESCOT,316161
GREENCHEF-SM,4375553
GREENLAM,1753089
GREENLEAF-SM,194412545
GREENPANEL,3535361
GREENPLY,1020673
